============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> Carbon(  6 um) ==============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  188  1 .1662380E+07   6000104E-02  .9055E+02  .2377E+03   .9999326 -.0027411  .0112783
T  189  1 .1702042E+07   6000011E-02 -.1308E+03  .8629E+03   .9994877  .0000459  .0320050
T  190  1 .1676121E+07   6000021E-02 -.3121E+03 -.2330E+03   .9999043 -.0106854 -.0087833
T  191  1 .1683043E+07   6000008E-02  .1856E+02  .1092E+03   .9999903  .0002286  .0043892
T  192  1 .1688564E+07   6000175E-02  .4022E+03 -.2055E+03   .9999558  .0076094 -.0055254
T  193  1 .1685857E+07   6000035E-02 -.6621E+03 -.7223E+02   .9996689 -.0256680 -.0018123
T  194  1 .1682183E+07   6000164E-02 -.8668E+02 -.2261E+03   .9999536  .0009594 -.0095821
T  195  1 .1690146E+07   6000106E-02  .4926E+03 -.5399E+03   .9996752  .0113193 -.0228323
T  196  1 .1681474E+07   6000132E-02 -.3619E+02  .8827E+02   .9999623  .0050096 -.0070971
T  197  1 .1675405E+07   6000092E-02  .2001E+03  .6756E+02   .9999324  .0111930 -.0031623
T  198  1 .1666296E+07   6000152E-02  .2976E+03  .1379E+03   .9999247  .0087783 -.0085788
T  199  1 .1711230E+07   6000074E-02  .3402E+03 -.4646E+03   .9999315 -.0053641 -.0104067
T  200  1 .1674981E+07   6000157E-02 -.4830E+03  .2058E+03   .9996207  .0070896  .0266102
T  201  1 .1688033E+07   6000079E-02 -.6054E+02 -.4406E+03   .9997367 -.0103510 -.0204782
T  202  1 .1672142E+07   6000137E-02 -.5676E+03  .2877E+02   .9998371 -.0163667  .0076063
T  203  1 .1686565E+07   6000122E-02  .3619E+03 -.2932E+01   .9996996  .0245084 -.0001987
T  204  1 .1687572E+07   6000095E-02  .4185E+03  .5176E+02   .9998343  .0181784 -.0009439
T  205  1 .1676846E+07   6000157E-02  .1183E+03 -.5851E+03   .9998251  .0036036 -.0183527
T  206  1 .1696374E+07   6000146E-02 -.9294E+03  .4315E+02   .9999050 -.0123587 -.0061065
T  207  1 .1673298E+07   6000039E-02 -.5461E+01  .8880E+02   .9999197  .0111485  .0060198
T  208  1 .1682309E+07   6000112E-02 -.1919E+03 -.1348E+03   .9999424 -.0097198 -.0045453
T  209  1 .1681330E+07   6000117E-02 -.7777E+02  .3076E+03   .9998290 -.0147647  .0111310
T  210  1 .1687810E+07   6000178E-02 -.2803E+03  .2865E+02   .9998851 -.0080404  .0128519
T  211  1 .1675615E+07   6000123E-02  .3707E+03 -.6936E+02   .9997620  .0210114  .0058735
T  212  1 .1701438E+07   6000053E-02  .9352E+02  .7369E+02   .9999963 -.0005851  .0026695
T  213  1 .1687587E+07   6000036E-02 -.7377E+02  .1147E+03   .9997574 -.0199052 -.0094261
T  214  1 .1665942E+07   6000178E-02 -.1570E+03  .1629E+03   .9998942 -.0142464  .0029354
T  215  1 .1655106E+07   6000013E-02  .5711E+03 -.6553E+03   .9991832  .0259147 -.0310068
T  216  1 .1678905E+07   6000161E-02  .1936E+03  .1533E+03   .9999335  .0084478  .0078560
